Wikipedia data,,,MAG,,,,Status,,Note
pageid,name,born (year),author_id,author_name,pub count,citation count,MAG id,different name,
186184,Adi Shankara,787,no info,no info,0,0,,,
1737,Anaxagoras,-511,2000671446,Anaxagoras Elenas,38,193,,,
1040982,Anton Wilhelm Amo,1702,2301813742,Alberto Amo,107,2684,,,
1363,André-Marie Ampère,1774,1662758635,André-Marie Ampère,11,50,,,
1724,Ammonius Saccas,173,no info,no info,0,0,,,
1370,Ambrose of Milan,338,2204119554,Ambrose Furey,162,4254,,,
76907,Louis Althusser,1918,2614269522,Louis Althusser,102,5964,,,
811041,Jean Hyppolite,1906,2586992532,Jean Hyppolite,13,130,,,
1757807,Xavier Zubiri,1898,136914835,Xavier Zubiri,37,377,,,
1061874,Florian Znaniecki,1881,107561710,Florian Znaniecki,52,2441,,,
166969,Slavoj Žižek,1949,624670696,Slavoj Žižek,186,11763,,,
166152,Zhuangzi,-370,no info,no info,0,0,,,
244468,Zhu Xi,1130,2598846770,Xi Zhu,96,571,,,
1987338,Zhou Guoping,1945,2856599204,Zhou Guoping,22,33,,,
305573,Zhiyi,537,2097102536,Zhiyi Wei,432,4484,,,
178655,Ernst Zermelo,1871,2129161398,Ernst Zermelo,0,0,,,https://academic.microsoft.com/author/2129161398/publication
1682358,Dewi Zephaniah Phillips,1934,2128986299,D. Z. Phillps,0,0,,diff,https://academic.microsoft.com/author/2128986299/publication
1819956,Zenon,-151,2017188273,Zenon Janas,302,2473,,,
143331,Zeno of Elea,-496,2325768737,Zeno Stanga,208,3259,,,
37142,Zeno of Citium,-335,2325768737,Zeno Stanga,208,3259,,,
24744,Peter Wessel Zapffe,1899,583159720,Peter Wessel Zapffe,0,0,,,https://academic.microsoft.com/author/583159720/publication
2537996,Edward N. Zalta,1952,701445703,Edward N. Zalta,79,3052,,,
4213262,Iris Marion Young,1948,2102896894,Iris Marion Young,107,16409,,,
1344918,Arthur Middleton Young,1905,no info,no info,0,0,no,diff,
268938,Francis Parker Yockey,1917,2560782084,Francis Parker Yockey,0,0,,,https://academic.microsoft.com/author/2560782084/publication
608209,Xun Kuang,-311,no info,no info,0,0,,,
34155,Xenophon of Athens,-431,2048520228,Xenophon Moussas,198,1302,,,
223339,Xenophanes,-571,no info,no info,0,0,,,
171850,Xenocrates,-6,no info,no info,0,0,,,
16483,John Wycliffe,1327,2812407915,Leighton John Wycliffe,32,77,,,
34128,Wilhelm Wundt,1832,2021976200,Wilhelm Wundt,140,3391,,,
302883,Crispin Wright,1942,2116429600,Crispin Wright,99,3698,,,
238214,Wu Zhihui,1865,2155515050,Wu Zhihui,119,137,,,
1046676,Nicholas Wolterstorff,1932,2618488673,Nicholas Wolterstorff,150,1183,,,
103328,William Wollaston,1659,1094470252,Vicky Buchanan-Wollaston,51,3033,,,
204122,Christian Wolff,1678,2126127755,Christian Wolff,326,1122,,,
17741,Ludwig Wittgenstein,1889,92007247,Ludwig Wittgenstein,234,12007,,,
260898,John Witherspoon,1722,2073561669,Sarah Witherspoon,74,1020,,,
